tag,pointtype,pointsource,instrumenttag,engunits,descriptor,location1,location2,location3,location4,location5,selected
OGB-W1-1L-THP-PIT-001,Float32,PIWebAPI_OMF,7001,pressure,Register 7001 from Gateway_1,4,0,1,1,0,X
OGB-W1-1S-THP-PIT-001,Float32,PIWebAPI_OMF,7010,pressure,Register 7010 from Gateway_1,4,0,1,1,0,X
OGB-W1-7L-THP-PIT-001,Float32,PIWebAPI_OMF,7020,pressure,Register 7020 from Gateway_1,4,0,1,1,0,X
OGB-W1-7S-THP-PIT-001,Float32,PIWebAPI_OMF,7029,pressure,Register 7029 from Gateway_1,4,0,1,1,0,X
OGB-W1-10T-THP-PIT-001,Float32,PIWebAPI_OMF,7047,pressure,Register 7047 from Gateway_1,4,0,1,1,0,X
OGB-W1-11T-THP-PIT-001,Float32,PIWebAPI_OMF,7060,pressure,Register 7060 from Gateway_1,4,0,1,1,0,X
OGB-W1-12L-THP-PIT-001,Float32,PIWebAPI_OMF,7073,pressure,Register 7073 from Gateway_1,4,0,1,1,0,X
OGB-W1-12S-THP-PIT-001,Float32,PIWebAPI_OMF,7082,pressure,Register 7082 from Gateway_1,4,0,1,1,0,X
OGB-W1-13T-THP-PIT-001,Float32,PIWebAPI_OMF,7096,pressure,Register 7096 from Gateway_1,4,0,1,1,0,X
OGB-W1-16L-THP-PIT-001,Float32,PIWebAPI_OMF,7109,pressure,Register 7109 from Gateway_1,4,0,1,1,0,X
OGB-W1-16S-THP-PIT-001,Float32,PIWebAPI_OMF,7118,pressure,Register 7118 from Gateway_1,4,0,1,1,0,X
OGB-W1-1L-FLP-PIT-002,Float32,PIWebAPI_OMF,7004,pressure,Register 7004 from Gateway_1,4,0,1,1,0,X
OGB-W1-1S-FLP-PIT-002,Float32,PIWebAPI_OMF,7013,pressure,Register 7013 from Gateway_1,4,0,1,1,0,X
OGB-W1-7L-FLP-PIT-002,Float32,PIWebAPI_OMF,7023,pressure,Register 7023 from Gateway_1,4,0,1,1,0,X
OGB-W1-7S-FLP-PIT-002,Float32,PIWebAPI_OMF,7032,pressure,Register 7032 from Gateway_1,4,0,1,1,0,X
OGB-W1-10T-FLP-PIT-002,Float32,PIWebAPI_OMF,7053,pressure,Register 7053 from Gateway_1,4,0,1,1,0,X
OGB-W1-11T-FLP-PIT-002,Float32,PIWebAPI_OMF,7066,pressure,Register 7066 from Gateway_1,4,0,1,1,0,X
OGB-W1-12L-FLP-PIT-002,Float32,PIWebAPI_OMF,7076,pressure,Register 7076 from Gateway_1,4,0,1,1,0,X
